	Bpertussis	Ecoli
Number of genes	3425	4295
Number of genes in orthogroups	1401	1461
Number of unassigned genes	2024	2834
Percentage of genes in orthogroups	40.9	34.0
Percentage of unassigned genes	59.1	66.0
Number of orthogroups containing species	1355	1355
Percentage of orthogroups containing species	100.0	100.0
Number of species-specific orthogroups	0	0
Number of genes in species-specific orthogroups	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	0	0
'1	1321	1281
'2	26	60
'3	5	9
'4	2	2
'5	1	0
'6	0	1
'7	0	1
'8	0	0
'9	0	0
'10	0	0
11-15	0	1
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	0.0
'1	97.5	94.5
'2	1.9	4.4
'3	0.4	0.7
'4	0.1	0.1
'5	0.1	0.0
'6	0.0	0.1
'7	0.0	0.1
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.1
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	1321	1281
'2	52	120
'3	15	27
'4	8	8
'5	5	0
'6	0	6
'7	0	7
'8	0	0
'9	0	0
'10	0	0
11-15	0	12
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	38.6	29.8
'2	1.5	2.8
'3	0.4	0.6
'4	0.2	0.2
'5	0.1	0.0
'6	0.0	0.1
'7	0.0	0.2
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.3
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
