Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	20	20
OG0000001	11	11
OG0000002	10	10
OG0000003	5	5
OG0000004	7	7
OG0000005	5	5
OG0000006	3	3
OG0000007	4	4
OG0000008	2	2
OG0000009	2	2
OG0000010	3	3
OG0000011	2	2
OG0000012	2	2
OG0000013	2	2
OG0000014	3	3
OG0000015	3	3
OG0000016	2	2
OG0000017	3	3
OG0000018	2	2
OG0000019	2	2
OG0000020	3	3
OG0000021	2	2
OG0000022	2	2
OG0000023	3	3
OG0000024	3	3
OG0000025	2	2
OG0000026	2	2
OG0000027	1	1
OG0000028	1	1
OG0000029	1	1
OG0000030	2	2
OG0000031	2	2
OG0000032	2	2
OG0000033	1	1
OG0000034	1	1
OG0000035	1	1
OG0000036	2	2
OG0000037	1	1
OG0000038	1	1
OG0000039	1	1
OG0000040	2	2
OG0000041	1	1
OG0000042	1	1
OG0000043	1	1
OG0000044	2	2
OG0000045	1	1
OG0000046	2	2
OG0000047	2	2
OG0000048	2	2
OG0000049	1	1
OG0000050	1	1
OG0000051	2	2
OG0000052	1	1
OG0000053	1	1
OG0000054	1	1
OG0000055	2	2
OG0000056	2	2
OG0000057	1	1
OG0000058	1	1
OG0000059	2	2
OG0000060	1	1
OG0000061	2	2
OG0000062	2	2
OG0000063	1	1
OG0000064	2	2
OG0000065	2	2
OG0000066	2	2
OG0000067	1	1
OG0000068	1	1
OG0000069	1	1
OG0000070	2	2
OG0000071	2	2
OG0000072	1	1
OG0000073	1	1
OG0000074	2	2
OG0000075	1	1
OG0000076	1	1
OG0000077	2	2
OG0000078	2	2
OG0000079	2	2
OG0000080	2	2
OG0000081	1	1
OG0000082	1	1
OG0000083	1	1
OG0000084	1	1
OG0000085	2	2
OG0000086	1	1
OG0000087	2	2
OG0000088	2	2
OG0000089	2	2
OG0000090	1	1
OG0000091	2	2
OG0000092	2	2
OG0000093	2	2
OG0000094	2	2
OG0000095	2	2
