Orthogroup	Pfalciparum	Tgondii	Total
OG0000000	21	1	22
OG0000001	3	12	15
OG0000002	10	2	12
OG0000003	3	6	9
OG0000004	2	7	9
OG0000005	2	5	7
OG0000006	3	4	7
OG0000007	3	3	6
OG0000008	3	3	6
OG0000009	3	2	5
OG0000010	4	1	5
OG0000011	2	3	5
OG0000012	2	3	5
OG0000013	2	3	5
OG0000014	4	1	5
OG0000015	1	4	5
OG0000016	3	2	5
OG0000017	1	4	5
OG0000018	2	3	5
OG0000019	2	3	5
OG0000020	2	3	5
OG0000021	3	2	5
OG0000022	3	2	5
OG0000023	2	3	5
OG0000024	1	4	5
OG0000025	2	3	5
OG0000026	2	2	4
OG0000027	2	2	4
OG0000028	2	2	4
OG0000029	2	2	4
OG0000030	2	2	4
OG0000031	3	1	4
OG0000032	2	2	4
OG0000033	2	2	4
OG0000034	2	2	4
OG0000035	2	2	4
OG0000036	3	1	4
OG0000037	2	2	4
OG0000038	2	2	4
OG0000039	2	2	4
OG0000040	1	3	4
OG0000041	2	2	4
OG0000042	2	2	4
OG0000043	2	2	4
OG0000044	2	2	4
OG0000045	2	2	4
OG0000046	2	2	4
OG0000047	3	1	4
OG0000048	3	1	4
OG0000049	2	2	4
OG0000050	2	2	4
OG0000051	2	2	4
OG0000052	2	2	4
OG0000053	2	2	4
OG0000054	2	2	4
OG0000055	1	3	4
OG0000056	1	3	4
OG0000057	2	2	4
OG0000058	2	2	4
OG0000059	3	1	4
OG0000060	2	2	4
OG0000061	2	2	4
OG0000062	1	3	4
OG0000063	2	2	4
OG0000064	1	3	4
OG0000065	3	1	4
OG0000066	1	3	4
OG0000067	2	2	4
OG0000068	2	2	4
OG0000069	2	2	4
OG0000070	1	3	4
OG0000071	1	3	4
OG0000072	2	2	4
OG0000073	2	2	4
OG0000074	1	3	4
OG0000075	2	2	4
OG0000076	2	2	4
OG0000077	2	2	4
OG0000078	1	3	4
OG0000079	1	3	4
OG0000080	3	1	4
