model,reactions number,removed reactions,converted reactions,non-converted reactions,recall,precision,f1,true positives,false positives,false negatives,ratio,jaccard distance
merlin-DFS,1891,601,607,683,0.3051948051948052,0.46921797004991683,0.3698360655737705,282.0,319.0,642.0,0.8840125391849529,0.7731295253419147
merlin-DFA,1891,601,607,683,0.3051948051948052,0.46921797004991683,0.3698360655737705,282.0,319.0,642.0,0.8840125391849529,0.7731295253419147
merlin-DSA,1761,570,560,631,0.2943722943722944,0.49097472924187724,0.3680649526387009,272.0,282.0,652.0,0.9645390070921985,0.7744610281923715
merlin-DSS,1761,570,560,631,0.2943722943722944,0.49097472924187724,0.3680649526387009,272.0,282.0,652.0,0.9645390070921985,0.7744610281923715
merlin-BS,1813,560,591,662,0.3051948051948052,0.48205128205128206,0.37375745526838966,282.0,303.0,642.0,0.9306930693069307,0.7701711491442542
merlin-BA,1819,562,589,668,0.30194805194805197,0.47855917667238423,0.37027206370272064,279.0,304.0,645.0,0.9177631578947368,0.7728013029315961
AuReMe,881,178,702,1,0.43231441048034935,0.5722543352601156,0.49253731343283585,396.0,296.0,520.0,1.337837837837838,0.6732673267326732
autoKEGGrec,884,0,575,309,0.3354978354978355,0.545774647887324,0.41554959785522794,310.0,258.0,614.0,1.2015503875968991,0.7377326565143825
CarveMe,2307,924,1375,8,0.5308370044052864,0.3673780487804878,0.4342342342342342,482.0,830.0,426.0,0.5807228915662651,0.7226697353279632
ModelSEED,1336,185,554,597,0.29260450160771706,0.4936708860759494,0.36742934051144016,273.0,280.0,660.0,0.975,0.7749381698268756
PathwayTools,1334,35,379,920,0.25268817204301075,0.6216931216931217,0.3593272171253823,235.0,143.0,695.0,1.6433566433566433,0.7809878844361603
RAVEN,3577,0,1133,2444,0.3675675675675676,0.302491103202847,0.33186920448999513,340.0,784.0,585.0,0.4336734693877551,0.8010532475131655
merlin-BIT,1526,337,1157,32,0.5125958378970427,0.4098073555166375,0.4554744525547445,468.0,674.0,445.0,0.6943620178041543,0.7051039697542534
