model,reactions number,removed reactions,converted reactions,non-converted reactions,recall,precision,f1,true positives,false positives,false negatives,ratio,jaccard distance
merlin-DFS,1201,320,786,95,0.628992628992629,0.32778489116517284,0.43097643097643096,256.0,525.0,151.0,0.4876190476190476,0.7253218884120172
merlin-DFA,1193,320,780,93,0.6191646191646192,0.3251612903225806,0.42639593908629436,252.0,523.0,155.0,0.4818355640535373,0.7290322580645161
merlin-DSA,1205,324,786,95,0.628992628992629,0.32778489116517284,0.43097643097643096,256.0,525.0,151.0,0.4876190476190476,0.7253218884120172
merlin-DSS,1234,326,812,96,0.6486486486486487,0.3271375464684015,0.43492586490939045,264.0,543.0,143.0,0.4861878453038674,0.7221052631578948
merlin-BS,1251,324,823,104,0.6805896805896806,0.3394607843137255,0.4529844644317253,277.0,539.0,130.0,0.5139146567717996,0.7071881606765328
merlin-BA,1307,334,864,109,0.687960687960688,0.3267211201866978,0.4430379746835443,280.0,577.0,127.0,0.4852686308492201,0.7154471544715447
AuReMe,423,47,314,62,0.6191646191646192,0.802547770700637,0.6990291262135923,252.0,62.0,155.0,4.064516129032258,0.4626865671641791
autoKEGGrec,673,0,623,50,0.6216216216216216,0.4100486223662885,0.494140625,253.0,364.0,154.0,0.695054945054945,0.6718547341115435
CarveMe,1453,537,644,272,0.7936117936117936,0.5159744408945687,0.6253630203291384,323.0,303.0,84.0,1.066006600660066,0.5450704225352112
ModelSEED,1274,238,1034,2,0.14987714987714987,0.05899419729206963,0.08466342817487854,61.0,973.0,346.0,0.06269270298047276,0.9557971014492753
PathwayTools,2077,810,820,447,0.515970515970516,0.25925925925925924,0.3451109285127363,210.0,600.0,197.0,0.35,0.791459781529295
RAVEN,3184,0,2727,457,0.7985257985257985,0.11979358643568006,0.20833333333333331,325.0,2388.0,82.0,0.1360971524288107,0.8837209302325582
merlin-BIT,665,105,392,168,0.6904176904176904,0.7168367346938775,0.7033792240300375,281.0,111.0,126.0,2.5315315315315314,0.4575289575289575
