model,reactions number,removed reactions,converted reactions,non-converted reactions,recall,precision,f1,true positives,false positives,false negatives,ratio,jaccard distance
merlin-DFS,1345,215,1125,5,0.6063829787234043,0.5102954341987467,0.5542051531356345,570.0,547.0,370.0,1.0420475319926874,0.6166778749159381
merlin-DFA,1446,228,1211,7,0.6308510638297873,0.4929343308395677,0.5534297713485767,593.0,610.0,347.0,0.9721311475409836,0.6174193548387097
merlin-DSA,1335,210,1120,5,0.6031914893617021,0.5098920863309353,0.5526315789473685,567.0,545.0,373.0,1.0403669724770641,0.6181818181818182
merlin-DSS,1335,210,1120,5,0.6031914893617021,0.5098920863309353,0.5526315789473685,567.0,545.0,373.0,1.0403669724770641,0.6181818181818182
merlin-BS,1441,228,1206,7,0.6287234042553191,0.49291075896580483,0.552594670406732,591.0,608.0,349.0,0.9720394736842105,0.6182170542635659
merlin-BA,1441,228,1206,7,0.6287234042553191,0.49291075896580483,0.552594670406732,591.0,608.0,349.0,0.9720394736842105,0.6182170542635659
AuReMe,432,89,209,134,0.17747077577045697,0.8267326732673267,0.2922134733158356,167.0,35.0,774.0,4.771428571428571,0.8288934426229508
autoKEGGrec,567,0,564,3,0.4250797024442083,0.718132854578097,0.5340453938584779,400.0,157.0,541.0,2.5477707006369426,0.6357012750455373
PathwayTools,1533,243,356,934,0.26063829787234044,0.692090395480226,0.3786707882534776,245.0,109.0,695.0,2.2477064220183487,0.7664442326024785
RAVEN,2655,0,2640,15,0.9010638297872341,0.3225437928408225,0.47504206393718457,847.0,1779.0,93.0,0.4761101742551995,0.6884884148584038
merlin-BIT,564,106,134,324,0.09447983014861996,0.712,0.16682286785379571,89.0,36.0,853.0,2.4722222222222223,0.908997955010225
