Internal ID,External ID,Source
rxn00001,IPP1,BiGG
rxn00001,PPA,BiGG
rxn00001,PPA_1,BiGG
rxn00001,PPAm,BiGG
rxn00002,ALPHNH,BiGG
rxn00002,DUR1_2,BiGG
rxn00003,ILV2_2,BiGG
rxn00006,CAT,BiGG
rxn00006,CATp,BiGG
rxn00006,CTA1,BiGG
rxn00006,CTT1,BiGG
rxn00007,ATH1,BiGG
rxn00007,NTH1,BiGG
rxn00007,NTH2,BiGG
rxn00007,TREH,BiGG
rxn00007,TREHe,BiGG
rxn00007,TREHpp,BiGG
rxn00007,TREHv,BiGG
rxn00010,GLXCBL,BiGG
rxn00010,GLXCL,BiGG
rxn00014,CCP,BiGG
rxn00014,CCP2m,BiGG
rxn00014,CYCPO,BiGG
rxn00015,HSPMS,BiGG
rxn00016,HXAD,BiGG
rxn00018,RBPC,BiGG
rxn00022,FSP2_1,BiGG
rxn00022,MAL12,BiGG
rxn00022,MAL32,BiGG
rxn00022,MALT,BiGG
rxn00022,YGR287C,BiGG
rxn00022,YIL172C,BiGG
rxn00022,YJL216C,BiGG
rxn00029,HEM2,BiGG
rxn00029,PPBNGS,BiGG
rxn00044,AHXDH,BiGG
rxn00056,FEROpp,BiGG
rxn00060,HEM3,BiGG
rxn00060,HMBS,BiGG
rxn00061,ATPH1,BiGG
rxn00062,ATPM,BiGG
rxn00062,ATPOBJ,BiGG
rxn00062,FATP,BiGG
rxn00062,NTP1,BiGG
rxn00062,U214,BiGG
rxn00063,NTPP6,BiGG
rxn00064,ATPHs,BiGG
rxn00065,ADNCYC,BiGG
rxn00065,CYR1,BiGG
rxn00069,GLT1,BiGG
rxn00069,GLUSx,BiGG
rxn00075,NADN,BiGG
rxn00075,NADNm,BiGG
rxn00075,U102,BiGG
rxn00076,NADDP,BiGG
rxn00076,NADDPe,BiGG
rxn00076,NADDPp,BiGG
rxn00077,NADK,BiGG
rxn00077,NADKm,BiGG
rxn00077,POS5_1,BiGG
rxn00077,POS5_2,BiGG
rxn00077,UTR1_1,BiGG
rxn00077,UTR1_2,BiGG
rxn00077,YEL041W_1,BiGG
rxn00077,YEL041W_2,BiGG
rxn00083,NADTRHD,BiGG
rxn00083,TEST_NADTRHD,BiGG
rxn00083,THD1,BiGG
rxn00083,THD5,BiGG
rxn00085,GLUSy,BiGG
rxn00086,GLR1,BiGG
rxn00086,GTHO,BiGG
rxn00086,GTHOm,BiGG
rxn00086,GTHOr,BiGG
rxn00086,GTHRD,BiGG
rxn00088,NADPPPS,BiGG
rxn00088,NADPPPSm,BiGG
rxn00088,U101,BiGG
rxn00088,U105,BiGG
rxn00092,NDP1,BiGG
rxn00095,AP4AH,BiGG
rxn00095,AP4AHr,BiGG
rxn00096,APA2,BiGG
rxn00096,ATPATF1,BiGG
rxn00097,ADK1,BiGG
rxn00097,ADK1_1,BiGG
rxn00097,ADK1m,BiGG
rxn00097,ADK2_1,BiGG
rxn00100,DPCOAK,BiGG
rxn00100,DPCOAKm,BiGG
rxn00100,U96,BiGG
rxn00100,U97,BiGG
rxn00101,UREA,BiGG
rxn00101,UREA2,BiGG
rxn00102,H2CO3D,BiGG
rxn00102,HCO3E,BiGG
rxn00102,HCO3Em,BiGG
rxn00102,HCO3En,BiGG
rxn00104,PPIK,BiGG
rxn00104,PPK2,BiGG
rxn00104,PPK2r,BiGG
rxn00105,NMNAT,BiGG
rxn00105,NMNATm,BiGG
rxn00105,NMNATr,BiGG
rxn00105,YLR328W_3,BiGG
rxn00106,PPA2,BiGG
rxn00114,CBMK,BiGG
rxn00114,CBMK2,BiGG
rxn00114,CBMKr,BiGG
rxn00116,NDP7,BiGG
rxn00117,NDPK2,BiGG
rxn00117,YNK1_1,BiGG
rxn00119,UMPK,BiGG
rxn00119,UMPKURIDK1,BiGG
rxn00119,UMPKn,BiGG
rxn00119,URA6_1,BiGG
rxn00119,URA6_2,BiGG
rxn00119,URIDK1,BiGG
rxn00120,NTP7,BiGG
rxn00122,FAD1,BiGG
rxn00122,FMNAT,BiGG
rxn00122,FMNATm,BiGG
rxn00122,FMNATr,BiGG
rxn00122,U80,BiGG
rxn00123,PYDXPP,BiGG
rxn00124,PYDXK,BiGG
rxn00124,U83,BiGG
rxn00126,METAT,BiGG
rxn00126,SAM1,BiGG
rxn00126,SAM2,BiGG
rxn00127,ADMDC,BiGG
rxn00127,ADMDCr,BiGG
rxn00127,SPE2,BiGG
rxn00130,AMD1_1,BiGG
rxn00130,AMPDA,BiGG
rxn00132,NTD7,BiGG
rxn00132,NTD7pp,BiGG
rxn00132,U30,BiGG
rxn00134,ADNK1,BiGG
rxn00134,YJR105W,BiGG
rxn00137,BPNT,BiGG
rxn00137,MET22,BiGG
rxn00138,NADS1,BiGG
rxn00138,NADS1m,BiGG
rxn00138,NADS1n,BiGG
rxn00138,QNS1_1,BiGG
rxn00138,QNS1_2,BiGG
rxn00139,ADPT,BiGG
rxn00139,APT1,BiGG
rxn00139,APT2,BiGG
rxn00140,PDE1,BiGG
rxn00140,PDE2_1,BiGG
rxn00141,AHC,BiGG
rxn00141,AHCi,BiGG
rxn00141,SAH1,BiGG
rxn00143,AHCYSNS,BiGG
rxn00144,DAPAL,BiGG
rxn00145,CYB2,BiGG
rxn00145,L-LACD,BiGG
rxn00145,L-LACDm,BiGG
rxn00145,L_LACD,BiGG
rxn00146,D-LACDm,BiGG
rxn00147,PPS,BiGG
rxn00148,CDC19,BiGG
rxn00148,PYK,BiGG
rxn00148,PYK2,BiGG
rxn00151,PPDK,BiGG
rxn00154,PDH,BiGG
rxn00154,PDHm,BiGG
rxn00157,PFL,BiGG
rxn00157,PFLi,BiGG
rxn00157,PFLr,BiGG
rxn00159,ME1,BiGG
rxn00159,ME1_rev,BiGG
rxn00159,ME1m,BiGG
rxn00159,ME1x,BiGG
rxn00160,MALDDH,BiGG
rxn00160,ME1x_D,BiGG
rxn00161,MAE1,BiGG
rxn00161,ME2,BiGG
rxn00161,ME2m,BiGG
rxn00162,OAADC,BiGG
rxn00162,OXDE,BiGG
rxn00165,CHA1_2,BiGG
rxn00165,SERD_L,BiGG
rxn00165,SERD_Lr,BiGG
rxn00165,SER_AL,BiGG
