Internal ID,External ID,Source
MNXM02,oh1,BiGG
MNXM1,h,BiGG
MNXM10,nadh,BiGG
MNXM100,grdp,BiGG
MNXM10053,mercplaccys,BiGG
MNXM10073,CE2176,BiGG
MNXM1012,12dgr_SC,BiGG
MNXM1013,triodthy,BiGG
MNXM10135,4hdebrisoquine,BiGG
MNXM10136,4mtolbutamide,BiGG
MNXM10149,CN0010,BiGG
MNXM1015,3uib,BiGG
MNXM1017,btal,BiGG
MNXM1018,abt__D,BiGG
MNXM1020,dtbt,BiGG
MNXM1021,glutar,BiGG
MNXM102111,CE2153,BiGG
MNXM1024,lpam,BiGG
MNXM10267,5homeprazole,BiGG
MNXM1031,tartr__M,BiGG
MNXM1037,5g2oxpt,BiGG
MNXM1043,dca,BiGG
MNXM1045,mana,BiGG
MNXM10462,CN0011,BiGG
MNXM1048,gcarote,BiGG
MNXM1057,5hoxindact,BiGG
MNXM10580,Ac1PIM4,BiGG
MNXM1062,acg5sa,BiGG
MNXM10629,CE2957,BiGG
MNXM1064,3mcat,BiGG
MNXM10654,g1m8mpdol_U,BiGG
MNXM106625,m1ocdca,BiGG
MNXM10684,avite2,BiGG
MNXM107,no2,BiGG
MNXM107082,CE2615,BiGG
MNXM10720,antipyrene,BiGG
MNXM10729,apofetn,BiGG
MNXM10733,arabinanagalfragund,BiGG
MNXM107333,c6dc,BiGG
MNXM107386,oleth,BiGG
MNXM107505,4hba,BiGG
MNXM107548,hexdeceeth,BiGG
MNXM107548,pmeth,BiGG
MNXM107973,PIM2,BiGG
MNXM108,hdca,BiGG
MNXM10816,mbdg,BiGG
MNXM10864,cca_d3,BiGG
MNXM1088,oxur,BiGG
MNXM10889,clpn160190,BiGG
MNXM1089002,CE5101,BiGG
MNXM1089003,HC02050,BiGG
MNXM1089004,HC02051,BiGG
MNXM1089005,HC02054,BiGG
MNXM1089006,HC02056,BiGG
MNXM1089007,HC02057,BiGG
MNXM1089008,HC02060,BiGG
MNXM1089009,HC02070,BiGG
MNXM1089010,HC02076,BiGG
MNXM1089011,M00213,BiGG
MNXM1089012,M00234,BiGG
MNXM1089013,M00503,BiGG
MNXM1089014,M00510,BiGG
