Internal ID,External ID,Source
cpd00001,h2o,BiGG
cpd00001,oh1,BiGG
cpd00001,h2o,BiGG1
cpd00001,oh1,BiGG1
cpd00002,atp,BiGG
cpd00002,atp,BiGG1
cpd00003,nad,BiGG
cpd00003,nad,BiGG1
cpd00003,nad+,BiGG1
cpd00004,nadh,BiGG
cpd00004,nadh,BiGG1
cpd00005,nadph,BiGG
cpd00005,nadph,BiGG1
cpd00006,nadp,BiGG
cpd00006,nadp,BiGG1
cpd00006,nadp+,BiGG1
cpd00007,o2,BiGG
cpd00007,o2,BiGG1
cpd00008,adp,BiGG
cpd00008,adp,BiGG1
cpd00009,pi,BiGG
cpd00009,pi,BiGG1
cpd00010,coa,BiGG
cpd00010,coa,BiGG1
cpd00011,co2,BiGG
cpd00011,co2,BiGG1
cpd00011,dco2,BiGG1
cpd00012,ppi,BiGG
cpd00012,ppi,BiGG1
cpd00013,nh3,BiGG
cpd00013,nh4,BiGG
cpd00013,dnh3,BiGG1
cpd00013,nh3,BiGG1
cpd00013,nh4,BiGG1
cpd00014,udp,BiGG
cpd00014,udp,BiGG1
cpd00015,fad,BiGG
cpd00015,fad,BiGG1
cpd00016,pydx5p,BiGG
cpd00016,pydx5p,BiGG1
cpd00017,amet,BiGG
cpd00017,amet,BiGG1
cpd00018,amp,BiGG
cpd00018,amp,BiGG1
cpd00019,ahcys,BiGG
cpd00019,ahcys,BiGG1
cpd00020,pyr,BiGG
cpd00020,pyr,BiGG1
cpd00022,accoa,BiGG
cpd00022,accoa,BiGG1
cpd00023,glu__L,BiGG
cpd00023,glu-L,BiGG1
cpd00023,glu_L,BiGG1
cpd00024,akg,BiGG
cpd00024,akg,BiGG1
cpd00025,h2o2,BiGG
cpd00025,h2o2,BiGG1
cpd00026,udpg,BiGG
cpd00026,udpg,BiGG1
cpd00027,glc__D,BiGG
cpd00027,glc-D,BiGG1
cpd00027,glc_D,BiGG1
cpd00028,pheme,BiGG
cpd00028,pheme,BiGG1
cpd00029,ac,BiGG
cpd00029,ac,BiGG1
cpd00030,mn2,BiGG
cpd00030,mn2,BiGG1
cpd00031,gdp,BiGG
cpd00031,gdp,BiGG1
