#source,ID
bigg.metabolite:oh1,MNXM02
bigg.metabolite:h,MNXM1
bigg.metabolite:nadh,MNXM10
bigg.metabolite:grdp,MNXM100
bigg.metabolite:mercplaccys,MNXM10053
bigg.metabolite:CE2176,MNXM10073
bigg.metabolite:12dgr_SC,MNXM1012
bigg.metabolite:triodthy,MNXM1013
bigg.metabolite:4hdebrisoquine,MNXM10135
bigg.metabolite:4mtolbutamide,MNXM10136
bigg.metabolite:CN0010,MNXM10149
bigg.metabolite:3uib,MNXM1015
bigg.metabolite:btal,MNXM1017
bigg.metabolite:abt__D,MNXM1018
bigg.metabolite:dtbt,MNXM1020
bigg.metabolite:glutar,MNXM1021
bigg.metabolite:CE2153,MNXM102111
bigg.metabolite:lpam,MNXM1024
bigg.metabolite:5homeprazole,MNXM10267
bigg.metabolite:tartr__M,MNXM1031
bigg.metabolite:5g2oxpt,MNXM1037
bigg.metabolite:dca,MNXM1043
bigg.metabolite:mana,MNXM1045
bigg.metabolite:CN0011,MNXM10462
bigg.metabolite:gcarote,MNXM1048
bigg.metabolite:5hoxindact,MNXM1057
bigg.metabolite:Ac1PIM4,MNXM10580
bigg.metabolite:acg5sa,MNXM1062
bigg.metabolite:CE2957,MNXM10629
bigg.metabolite:3mcat,MNXM1064
bigg.metabolite:g1m8mpdol_U,MNXM10654
bigg.metabolite:m1ocdca,MNXM106625
bigg.metabolite:avite2,MNXM10684
bigg.metabolite:no2,MNXM107
bigg.metabolite:CE2615,MNXM107082
bigg.metabolite:antipyrene,MNXM10720
bigg.metabolite:apofetn,MNXM10729
bigg.metabolite:arabinanagalfragund,MNXM10733
bigg.metabolite:c6dc,MNXM107333
bigg.metabolite:oleth,MNXM107386
bigg.metabolite:4hba,MNXM107505
bigg.metabolite:hexdeceeth,MNXM107548
bigg.metabolite:pmeth,MNXM107548
bigg.metabolite:PIM2,MNXM107973
bigg.metabolite:hdca,MNXM108
bigg.metabolite:mbdg,MNXM10816
bigg.metabolite:cca_d3,MNXM10864
bigg.metabolite:oxur,MNXM1088
bigg.metabolite:clpn160190,MNXM10889
bigg.metabolite:CE5101,MNXM1089002
bigg.metabolite:HC02050,MNXM1089003
bigg.metabolite:HC02051,MNXM1089004
bigg.metabolite:HC02054,MNXM1089005
bigg.metabolite:HC02056,MNXM1089006
bigg.metabolite:HC02057,MNXM1089007
bigg.metabolite:HC02060,MNXM1089008
bigg.metabolite:HC02070,MNXM1089009
bigg.metabolite:HC02076,MNXM1089010
bigg.metabolite:M00213,MNXM1089011
bigg.metabolite:M00234,MNXM1089012
bigg.metabolite:M00503,MNXM1089013
bigg.metabolite:M00510,MNXM1089014
bigg.metabolite:M01820,MNXM1089015
bigg.metabolite:M02195,MNXM1089016
bigg.metabolite:M02683,MNXM1089017
bigg.metabolite:M02686,MNXM1089018
bigg.metabolite:M02758,MNXM1089019
bigg.metabolite:M02956,MNXM1089020
bigg.metabolite:Stmyn,MNXM1091
bigg.metabolite:10m3ouACP,MNXM1091487
bigg.metabolite:10m3uACP,MNXM1091488
bigg.metabolite:10mdACP,MNXM1091489
bigg.metabolite:10mtd2eACP,MNXM1091490
bigg.metabolite:10mtu2eACP,MNXM1091491
bigg.metabolite:10muACP,MNXM1091492
bigg.metabolite:11m3hdACP,MNXM1091493
bigg.metabolite:11m3odACP,MNXM1091494
bigg.metabolite:11mdACP,MNXM1091495
bigg.metabolite:11mtdeACP,MNXM1091496
bigg.metabolite:123oxtACP,MNXM1091497
bigg.metabolite:12dgr140160,MNXM1091498
bigg.metabolite:12dgr1401619Z,MNXM1091499
bigg.metabolite:12dgr140162n4,MNXM1091500
bigg.metabolite:12dgr140163n4,MNXM1091501
bigg.metabolite:12dgr140180,MNXM1091502
bigg.metabolite:12dgr1401819Z,MNXM1091503
bigg.metabolite:12dgr140182n6,MNXM1091504
bigg.metabolite:12dgr140183n3,MNXM1091505
bigg.metabolite:12dgr140183n6,MNXM1091506
bigg.metabolite:12dgr140204n6,MNXM1091507
bigg.metabolite:12dgr140205n3,MNXM1091508
bigg.metabolite:12dgr140226n3,MNXM1091509
bigg.metabolite:12dgr160140,MNXM1091510
bigg.metabolite:12dgr1601619Z,MNXM1091511
bigg.metabolite:12dgr160180,MNXM1091512
bigg.metabolite:12dgr160182n6,MNXM1091513
bigg.metabolite:12dgr160183n3,MNXM1091514
bigg.metabolite:12dgr160183n6,MNXM1091515
bigg.metabolite:12dgr160204n6,MNXM1091516
bigg.metabolite:12dgr160205n3,MNXM1091517
bigg.metabolite:12dgr160226n3,MNXM1091518
bigg.metabolite:12dgr1619Z140,MNXM1091519
bigg.metabolite:12dgr1619Z160,MNXM1091520
bigg.metabolite:12dgr1619Z162n4,MNXM1091521
bigg.metabolite:12dgr1619Z163n4,MNXM1091522
bigg.metabolite:12dgr1619Z180,MNXM1091523
bigg.metabolite:12dgr1619Z1819Z,MNXM1091524
bigg.metabolite:12dgr1619Z182n6,MNXM1091525
bigg.metabolite:12dgr1619Z183n3,MNXM1091526
bigg.metabolite:12dgr1619Z183n6,MNXM1091527
bigg.metabolite:12dgr1619Z204n6,MNXM1091528
bigg.metabolite:12dgr1619Z205n3,MNXM1091529
bigg.metabolite:12dgr1619Z226n3,MNXM1091530
bigg.metabolite:12dgr1619Z240,MNXM1091531
bigg.metabolite:12dgr180140,MNXM1091532
bigg.metabolite:12dgr180160,MNXM1091533
bigg.metabolite:12dgr1801619Z,MNXM1091534
bigg.metabolite:12dgr180182n6,MNXM1091535
bigg.metabolite:12dgr180183n3,MNXM1091536
bigg.metabolite:12dgr180183n6,MNXM1091537
bigg.metabolite:12dgr180204n6,MNXM1091538
bigg.metabolite:12dgr180205n3,MNXM1091539
bigg.metabolite:12dgr180226n3,MNXM1091540
bigg.metabolite:12dgr1819Z140,MNXM1091541
bigg.metabolite:12dgr1819Z162n4,MNXM1091542
bigg.metabolite:12dgr1819Z163n4,MNXM1091543
bigg.metabolite:12dgr1819Z180,MNXM1091544
bigg.metabolite:12dgr1819Z182n6,MNXM1091545
bigg.metabolite:12dgr1819Z183n3,MNXM1091546
bigg.metabolite:12dgr1819Z183n6,MNXM1091547
bigg.metabolite:12dgr1819Z204n6,MNXM1091548
bigg.metabolite:12dgr1819Z205n3,MNXM1091549
bigg.metabolite:12dgr1819Z226n3,MNXM1091550
bigg.metabolite:12dgr182n6140,MNXM1091551
bigg.metabolite:12dgr182n6160,MNXM1091552
bigg.metabolite:12dgr182n61619Z,MNXM1091553
bigg.metabolite:12dgr182n6180,MNXM1091554
bigg.metabolite:12dgr182n61819Z,MNXM1091555
bigg.metabolite:12dgr182n6183n3,MNXM1091556
bigg.metabolite:12dgr182n6183n6,MNXM1091557
bigg.metabolite:12dgr182n6204n6,MNXM1091558
bigg.metabolite:12dgr182n6205n3,MNXM1091559
bigg.metabolite:12dgr182n6226n3,MNXM1091560
bigg.metabolite:12dgr205n3,MNXM1091561
bigg.metabolite:12dgr205n3140,MNXM1091562
bigg.metabolite:12dgr205n3160,MNXM1091563
bigg.metabolite:12dgr205n31619Z,MNXM1091564
bigg.metabolite:12dgr205n3162n4,MNXM1091565
bigg.metabolite:12dgr205n3163n4,MNXM1091566
bigg.metabolite:12dgr205n3164n1,MNXM1091567
bigg.metabolite:12dgr205n3180,MNXM1091568
bigg.metabolite:12dgr205n31819Z,MNXM1091569
bigg.metabolite:12dgr205n3182n6,MNXM1091570
bigg.metabolite:12dgr205n3183n3,MNXM1091571
bigg.metabolite:12dgr205n3183n6,MNXM1091572
bigg.metabolite:12dgr205n3204n6,MNXM1091573
bigg.metabolite:12dgr205n3226n3,MNXM1091574
bigg.metabolite:12dgr226n3,MNXM1091575
bigg.metabolite:12dgr226n3140,MNXM1091576
bigg.metabolite:12dgr226n3160,MNXM1091577
bigg.metabolite:12dgr226n31619Z,MNXM1091578
bigg.metabolite:12dgr226n3180,MNXM1091579
bigg.metabolite:12dgr226n31819Z,MNXM1091580
bigg.metabolite:12dgr226n3182n6,MNXM1091581
