#source,ID
bigg.reaction:CRBNTD,EMPTY
bigg.reaction:DNADRAIN,EMPTY
bigg.reaction:H2CO3D2,EMPTY
bigg.reaction:H2CO3D2m,EMPTY
bigg.reaction:HMR_5409,EMPTY
bigg.reaction:NH3c,EMPTY
bigg.reaction:NH4DISg,EMPTY
bigg.reaction:RE2594C,EMPTY
bigg.reaction:R_CRBNTD,EMPTY
bigg.reaction:R_DNADRAIN,EMPTY
bigg.reaction:R_H2CO3D2,EMPTY
bigg.reaction:R_H2CO3D2m,EMPTY
bigg.reaction:R_HMR_5409,EMPTY
bigg.reaction:R_NH3c,EMPTY
bigg.reaction:R_NH4DISg,EMPTY
bigg.reaction:R_RE2594C,EMPTY
bigg.reaction:EX_h_e,MNXR02
bigg.reaction:R_EX_h_e,MNXR02
bigg.reaction:HMR_1095,MNXR03
bigg.reaction:Ht,MNXR03
bigg.reaction:Htcx,MNXR03
bigg.reaction:Htex,MNXR03
bigg.reaction:Htg,MNXR03
bigg.reaction:Hth,MNXR03
bigg.reaction:Htl,MNXR03
bigg.reaction:Htm,MNXR03
bigg.reaction:Htm_cho,MNXR03
bigg.reaction:Htmi,MNXR03
bigg.reaction:Htr,MNXR03
bigg.reaction:Hts,MNXR03
bigg.reaction:Htu,MNXR03
bigg.reaction:Htx,MNXR03
bigg.reaction:PCXHtpp,MNXR03
bigg.reaction:R_HMR_1095,MNXR03
bigg.reaction:R_Ht,MNXR03
bigg.reaction:R_Htcx,MNXR03
bigg.reaction:R_Htex,MNXR03
bigg.reaction:R_Htg,MNXR03
bigg.reaction:R_Hth,MNXR03
bigg.reaction:R_Htl,MNXR03
bigg.reaction:R_Htm,MNXR03
bigg.reaction:R_Htm_cho,MNXR03
bigg.reaction:R_Htmi,MNXR03
bigg.reaction:R_Htr,MNXR03
bigg.reaction:R_Hts,MNXR03
bigg.reaction:R_Htu,MNXR03
bigg.reaction:R_Htx,MNXR03
bigg.reaction:R_PCXHtpp,MNXR03
bigg.reaction:GALNACT5g,MNXR100000
bigg.reaction:R_GALNACT5g,MNXR100000
bigg.reaction:GALNTg,MNXR100001
bigg.reaction:NAGA2ly,MNXR100001
bigg.reaction:R_GALNTg,MNXR100001
bigg.reaction:R_NAGA2ly,MNXR100001
bigg.reaction:GALR1TRA1,MNXR100004
bigg.reaction:R_GALR1TRA1,MNXR100004
bigg.reaction:GALR1TRA2,MNXR100005
bigg.reaction:R_GALR1TRA2,MNXR100005
bigg.reaction:GALR1TRB1,MNXR100006
bigg.reaction:R_GALR1TRB1,MNXR100006
bigg.reaction:GALR1TRB2,MNXR100007
bigg.reaction:R_GALR1TRB2,MNXR100007
bigg.reaction:GALSGLT1le,MNXR100011
bigg.reaction:R_GALSGLT1le,MNXR100011
bigg.reaction:EX_galside_cho_e,MNXR100013
bigg.reaction:GALSIDEtg_cho,MNXR100013
bigg.reaction:GALSIDEtl_cho,MNXR100013
bigg.reaction:R_EX_galside_cho_e,MNXR100013
bigg.reaction:R_GALSIDEtg_cho,MNXR100013
bigg.reaction:R_GALSIDEtl_cho,MNXR100013
bigg.reaction:GALTg,MNXR100017
bigg.reaction:R_GALTg,MNXR100017
bigg.reaction:GALTpts,MNXR100018
bigg.reaction:GALTptspp,MNXR100018
bigg.reaction:R_GALTpts,MNXR100018
bigg.reaction:R_GALTptspp,MNXR100018
bigg.reaction:EX_galt_e,MNXR100019
bigg.reaction:GALTt,MNXR100019
bigg.reaction:GALTtex,MNXR100019
bigg.reaction:R_EX_galt_e,MNXR100019
bigg.reaction:R_GALTt,MNXR100019
bigg.reaction:R_GALTtex,MNXR100019
bigg.reaction:GALh,MNXR100024
bigg.reaction:GALm,MNXR100024
bigg.reaction:GLNS,MNXR100024
bigg.reaction:GLNS_1,MNXR100024
bigg.reaction:R_GALh,MNXR100024
bigg.reaction:R_GALm,MNXR100024
bigg.reaction:R_GLNS,MNXR100024
bigg.reaction:R_GLNS_1,MNXR100024
bigg.reaction:GALt2_2,MNXR100027
bigg.reaction:R_GALt2_2,MNXR100027
bigg.reaction:GALt4,MNXR100028
bigg.reaction:R_GALt4,MNXR100028
bigg.reaction:GALt4_2,MNXR100029
bigg.reaction:R_GALt4_2,MNXR100029
bigg.reaction:GAM,MNXR100030
bigg.reaction:GLUN,MNXR100030
bigg.reaction:GLUN_1,MNXR100030
bigg.reaction:GLUNm,MNXR100030
bigg.reaction:GLUNpp,MNXR100030
bigg.reaction:R_GAM,MNXR100030
bigg.reaction:R_GLUN,MNXR100030
bigg.reaction:R_GLUN_1,MNXR100030
bigg.reaction:R_GLUNm,MNXR100030
bigg.reaction:R_GLUNpp,MNXR100030
bigg.reaction:GAMYe,MNXR100033
bigg.reaction:R_GAMYe,MNXR100033
bigg.reaction:GAO1,MNXR100036
bigg.reaction:GAO1g,MNXR100036
bigg.reaction:R_GAO1,MNXR100036
bigg.reaction:R_GAO1g,MNXR100036
bigg.reaction:GAO1_cho,MNXR100037
bigg.reaction:GAO1g_cho,MNXR100037
bigg.reaction:R_GAO1_cho,MNXR100037
bigg.reaction:R_GAO1g_cho,MNXR100037
bigg.reaction:GAO2,MNXR100038
bigg.reaction:GAO2g,MNXR100038
bigg.reaction:R_GAO2,MNXR100038
bigg.reaction:R_GAO2g,MNXR100038
bigg.reaction:GAO2_cho,MNXR100039
bigg.reaction:GAO2g_cho,MNXR100039
bigg.reaction:R_GAO2_cho,MNXR100039
bigg.reaction:R_GAO2g_cho,MNXR100039
bigg.reaction:GASNASE2ly,MNXR100043
bigg.reaction:R_GASNASE2ly,MNXR100043
bigg.reaction:GASNASE3ly,MNXR100044
bigg.reaction:R_GASNASE3ly,MNXR100044
bigg.reaction:GASNASEly,MNXR100045
bigg.reaction:R_GASNASEly,MNXR100045
bigg.reaction:EX_ga_e,MNXR100048
bigg.reaction:GAt1,MNXR100048
bigg.reaction:R_EX_ga_e,MNXR100048
bigg.reaction:R_GAt1,MNXR100048
bigg.reaction:GAt2pp,MNXR100049
bigg.reaction:R_GAt2pp,MNXR100049
bigg.reaction:GBA,MNXR100050
bigg.reaction:GBA2e,MNXR100050
bigg.reaction:GBAl,MNXR100050
bigg.reaction:R_GBA,MNXR100050
bigg.reaction:R_GBA2e,MNXR100050
bigg.reaction:R_GBAl,MNXR100050
bigg.reaction:GBGT1,MNXR100055
bigg.reaction:NAGAly,MNXR100055
bigg.reaction:R_GBGT1,MNXR100055
bigg.reaction:R_NAGAly,MNXR100055
bigg.reaction:GBGT1_cho,MNXR100056
bigg.reaction:NAGAly_cho,MNXR100056
bigg.reaction:R_GBGT1_cho,MNXR100056
bigg.reaction:R_NAGAly_cho,MNXR100056
bigg.reaction:GBPS,MNXR100057
bigg.reaction:R_GBPS,MNXR100057
bigg.reaction:EX_gbside_hs_e,MNXR100058
bigg.reaction:GBSIDEte,MNXR100058
bigg.reaction:GBSIDEtl,MNXR100058
bigg.reaction:R_EX_gbside_hs_e,MNXR100058
bigg.reaction:R_GBSIDEte,MNXR100058
bigg.reaction:R_GBSIDEtl,MNXR100058
bigg.reaction:EX_gbside_cho_e,MNXR100059
bigg.reaction:GBSIDEte_cho,MNXR100059
bigg.reaction:GBSIDEtl_cho,MNXR100059
bigg.reaction:R_EX_gbside_cho_e,MNXR100059
bigg.reaction:R_GBSIDEte_cho,MNXR100059
bigg.reaction:R_GBSIDEtl_cho,MNXR100059
bigg.reaction:GCALDD,MNXR100060
bigg.reaction:GCALDDm,MNXR100060
bigg.reaction:R_GCALDD,MNXR100060
bigg.reaction:R_GCALDDm,MNXR100060
bigg.reaction:EX_gcald_e,MNXR100061
bigg.reaction:GCALDt,MNXR100061
bigg.reaction:GCALDtm,MNXR100061
bigg.reaction:R_EX_gcald_e,MNXR100061
bigg.reaction:R_GCALDt,MNXR100061
bigg.reaction:R_GCALDtm,MNXR100061
bigg.reaction:R_SK_gcald_c,MNXR100061
bigg.reaction:SK_gcald_c,MNXR100061
bigg.reaction:GCAROtu,MNXR100062
bigg.reaction:R_GCAROtu,MNXR100062
bigg.reaction:GCATENEC,MNXR100063
bigg.reaction:LCYB,MNXR100063
bigg.reaction:LYCBC2_h,MNXR100063
bigg.reaction:R_GCATENEC,MNXR100063
bigg.reaction:R_LCYB,MNXR100063
bigg.reaction:R_LYCBC2_h,MNXR100063
bigg.reaction:GCC2,MNXR100064
bigg.reaction:GCC2bim,MNXR100064
bigg.reaction:R_GCC2,MNXR100064
bigg.reaction:R_GCC2bim,MNXR100064
bigg.reaction:GCC2am,MNXR100065
bigg.reaction:R_GCC2am,MNXR100065
bigg.reaction:GCC2cm,MNXR100066
bigg.reaction:PDHcr,MNXR100066
bigg.reaction:PDHe3hr,MNXR100066
bigg.reaction:R_GCC2cm,MNXR100066
bigg.reaction:R_PDHcr,MNXR100066
bigg.reaction:R_PDHe3hr,MNXR100066
bigg.reaction:GCHOLAt,MNXR100070
bigg.reaction:R_GCHOLAt,MNXR100070
bigg.reaction:GCHOLAt2,MNXR100071
bigg.reaction:R_GCHOLAt2,MNXR100071
bigg.reaction:GCHOLAt3,MNXR100072
bigg.reaction:R_GCHOLAt3,MNXR100072
bigg.reaction:EX_gchola_e,MNXR100073
bigg.reaction:GCHOLAte,MNXR100073
