model,genes number,recall,precision,f1,true positives,false positives,false negatives,ratio,jaccard distance
merlin BLAST auto,858,0.674025974025974,0.6048951048951049,0.6375921375921375,519.0,339.0,251.0,1.5309734513274336,0.5320108205590622
merlin DIAMOND,829,0.6584415584415585,0.6115802171290712,0.6341463414634145,507.0,322.0,263.0,1.5745341614906831,0.5357142857142857
merlin BLAST SamPleR,861,0.6766233766233766,0.6051103368176539,0.6388718577559779,521.0,340.0,249.0,1.5323529411764707,0.5306306306306307
AuReMe,452,0.4701298701298701,0.8008849557522124,0.5924713584288052,362.0,90.0,408.0,4.022222222222222,0.5790697674418605
autoKEGGrec,934,0.6753246753246753,0.556745182012848,0.6103286384976526,520.0,414.0,250.0,1.2560386473429952,0.5608108108108107
CarveMe,1026,0.7584415584415585,0.5692007797270955,0.6503340757238307,584.0,442.0,186.0,1.3212669683257918,0.5181518151815181
ModelSEED,675,0.5727272727272728,0.6533333333333333,0.6103806228373703,441.0,234.0,329.0,1.8846153846153846,0.5607569721115537
PathwayTools,780,0.6038961038961039,0.5961538461538461,0.6,465.0,315.0,305.0,1.4761904761904763,0.5714285714285714
RAVEN,1415,0.7480519480519481,0.4070671378091873,0.5272311212814645,576.0,839.0,194.0,0.6865315852205006,0.642013673088875
merlin BIT,814,0.6454545454545455,0.6105651105651105,0.6275252525252525,497.0,317.0,273.0,1.5678233438485805,0.5427782888684453
