model,reactions number,removed reactions,converted reactions,non-converted reactions,recall,precision,f1,true positives,false positives,false negatives,ratio,jaccard distance
merlin-BA,1307,334,478,495,0.5010438413361169,0.507399577167019,0.5042016806722689,240.0,233.0,239.0,1.0300429184549356,0.6629213483146068
merlin-DFA,1193,320,414,459,0.4196242171189979,0.49264705882352944,0.4532130777903044,201.0,207.0,278.0,0.9710144927536232,0.706997084548105
merlin-BS,1251,324,461,466,0.49478079331941544,0.5197368421052632,0.506951871657754,237.0,219.0,242.0,1.082191780821918,0.660458452722063
AuReMe,423,47,367,9,0.5469728601252609,0.7138964577656676,0.619385342789598,262.0,105.0,217.0,2.4952380952380953,0.5513698630136986
autoKEGGrec,673,0,441,232,0.4906054279749478,0.5414746543778802,0.5147864184008764,235.0,199.0,244.0,1.1809045226130652,0.6533923303834808
CarveMe,1453,537,913,3,0.6951983298538622,0.39315230224321135,0.502262443438914,333.0,514.0,146.0,0.6478599221789884,0.6646525679758308
ModelSEED,1274,238,509,527,0.4718162839248434,0.4448818897637795,0.4579533941236069,226.0,282.0,253.0,0.8014184397163121,0.7030223390275953
PathwayTools,2077,810,365,902,0.407098121085595,0.5357142857142857,0.46263345195729544,195.0,169.0,284.0,1.1538461538461537,0.6990740740740741
RAVEN,3184,0,1093,2091,0.5803757828810021,0.2564575645756458,0.3557261676263596,278.0,806.0,201.0,0.34491315136476425,0.7836575875486381
merlin-BIT,665,105,536,24,0.6304801670146137,0.5634328358208955,0.5950738916256156,302.0,234.0,177.0,1.2905982905982907,0.5764375876577841
