Orthogroup	Tgondii	Pfalciparum
OG0000000	TGME49_289050	PF3D7_0424700, PF3D7_1039000, PF3D7_0424500, PF3D7_0102600, PF3D7_1371700, PF3D7_0301200, PF3D7_0726200, PF3D7_0805700, PF3D7_0902000, PF3D7_0731400, PF3D7_0902300, PF3D7_0902100, PF3D7_0902600, PF3D7_0902500, PF3D7_0902400, PF3D7_0902200, PF3D7_1149300, PF3D7_1016400, PF3D7_1200800, PF3D7_1476400, PF3D7_0500900
OG0000001	TGME49_215490	PF3D7_0104800
OG0000001	TGME49_257530, TGME49_216710, TGME49_320020	PF3D7_0914700
OG0000001	TGME49_220600, TGME49_248420, TGME49_318150	PF3D7_1129900
OG0000002	TGME49_305260, TGME49_306330	PF3D7_0709700, PF3D7_0936700, PF3D7_1401500, PF3D7_1252600, PF3D7_0702200, PF3D7_1038900, PF3D7_0937200, PF3D7_0102400, PF3D7_1476700, PF3D7_1476800
OG0000003	TGME49_203135	PF3D7_1023100
OG0000003	TGME49_309980, TGME49_235920, TGME49_249840, TGME49_306338	PF3D7_0905300
OG0000003	TGME49_261022	PF3D7_1122900
OG0000004	TGME49_315550, TGME49_315540, TGME49_261780, TGME49_315520, TGME49_267680, TGME49_318540, TGME49_202400	PF3D7_1030900, PF3D7_1031000
OG0000005	TGME49_288945, TGME49_243460, TGME49_289710, TGME49_233380, TGME49_281960	PF3D7_1233200.1, PF3D7_1233200.2
OG0000006	TGME49_242830	PF3D7_1106300
OG0000006	TGME49_320440	PF3D7_0204600
OG0000006	TGME49_327600, TGME49_305780	PF3D7_0909400
OG0000007	TGME49_289170, TGME49_216280, TGME49_230555	PF3D7_1404600.2, PF3D7_1404600.3, PF3D7_1404600.1
OG0000008	TGME49_289620	PF3D7_1116700
OG0000008	TGME49_267490	PF3D7_1247800
OG0000008	TGME49_276130	PF3D7_0404700
OG0000009	TGME49_260670	PF3D7_1027700.2, PF3D7_1027700.1
OG0000009	TGME49_247230	PF3D7_0107000
OG0000010	TGME49_251550	PF3D7_1001200, PF3D7_0810000, PF3D7_1001100.1, PF3D7_1477800
OG0000011	TGME49_289310	PF3D7_0811000
OG0000011	TGME49_201770, TGME49_316660	PF3D7_0629800
OG0000012	TGME49_242460	PF3D7_1241600
OG0000012	TGME49_293350, TGME49_277090	PF3D7_0905200
OG0000013	TGME49_226090	PF3D7_1202000
OG0000013	TGME49_309570, TGME49_219200	PF3D7_1251500
OG0000014	TGME49_201840	PF3D7_1408000, PF3D7_1408100, PF3D7_1407900, PF3D7_1407800
OG0000015	TGME49_234540, TGME49_212200, TGME49_288820, TGME49_203350	PF3D7_0827700
OG0000016	TGME49_249010	PF3D7_0916600
OG0000016	TGME49_310070	PF3D7_1455200.2, PF3D7_1455200.1
OG0000017	TGME49_206510, TGME49_257010, TGME49_269885, TGME49_244480	PF3D7_1121800
OG0000018	TGME49_285660	PF3D7_0909900
OG0000018	TGME49_242055, TGME49_230080	PF3D7_1331100
OG0000019	TGME49_265530	PF3D7_0414500
OG0000019	TGME49_310050, TGME49_264610	PF3D7_0916700
OG0000020	TGME49_243910, TGME49_229330, TGME49_229320	PF3D7_1226300, PF3D7_1033400
OG0000021	TGME49_318170	PF3D7_0207200, PF3D7_0322500
OG0000021	TGME49_297925	PF3D7_0522700
OG0000022	TGME49_268730	PF3D7_0304500
OG0000022	TGME49_238070	PF3D7_0606900, PF3D7_0709200
OG0000023	TGME49_244440, TGME49_288540, TGME49_233130	PF3D7_0824400, PF3D7_1347200
OG0000024	TGME49_323100, TGME49_279100, TGME49_323110, TGME49_220950	PF3D7_1347500
OG0000025	TGME49_232350, TGME49_291040	PF3D7_1324900
OG0000025	TGME49_318430	PF3D7_0618500
OG0000026	TGME49_228370, TGME49_285180	PF3D7_1411900, PF3D7_1412000
OG0000027	TGME49_258990	PF3D7_0110500
OG0000027	TGME49_311625	PF3D7_0321800
OG0000028	TGME49_253110	PF3D7_0111000
OG0000028	TGME49_297110	PF3D7_0317500
OG0000029	TGME49_298610	PF3D7_0604500
OG0000029	TGME49_204160	PF3D7_1019000
OG0000030	TGME49_315930, TGME49_271170	PF3D7_0109900.1, PF3D7_0109900.2
OG0000031	TGME49_299810	PF3D7_1015200.3, PF3D7_1015200.2, PF3D7_1015200.1
OG0000032	TGME49_220212, TGME49_211450	PF3D7_0516300, PF3D7_0908700
OG0000033	TGME49_313400	PF3D7_1211400
OG0000033	TGME49_214530	PF3D7_1330300
OG0000034	TGME49_205150	PF3D7_1018800
OG0000034	TGME49_268630	PF3D7_0819500
OG0000035	TGME49_276180	PF3D7_1234100
OG0000035	TGME49_306460	PF3D7_1475600
OG0000036	TGME49_236110	PF3D7_0905700.2, PF3D7_0905700.3, PF3D7_0905700.1
OG0000037	TGME49_237100	PF3D7_1226500
OG0000037	TGME49_260790	PF3D7_1029800
OG0000038	TGME49_313740	PF3D7_1019300
OG0000038	TGME49_242090	PF3D7_1425600
OG0000039	TGME49_216650	PF3D7_0814600
OG0000039	TGME49_202390	PF3D7_1407700
OG0000040	TGME49_254330, TGME49_269300, TGME49_262400	PF3D7_1427100
OG0000041	TGME49_262510	PF3D7_0812220
OG0000041	TGME49_217760	PF3D7_0513400
OG0000042	TGME49_204410	PF3D7_1363500
OG0000042	TGME49_259560	PF3D7_0519500
OG0000043	TGME49_231170	PF3D7_0509100
OG0000043	TGME49_288700	PF3D7_1130700
OG0000044	TGME49_219130, TGME49_246920	PF3D7_1419800.1, PF3D7_1419800.2
OG0000045	TGME49_279330	PF3D7_0218400
OG0000045	TGME49_259220	PF3D7_1241800
OG0000046	TGME49_244630, TGME49_264190	PF3D7_0730100, PF3D7_1035000
OG0000047	TGME49_246780	PF3D7_0625100, PF3D7_0625000.2, PF3D7_0625000.1
OG0000048	TGME49_261940	PF3D7_1401300, PF3D7_0301300, PF3D7_0826200
OG0000049	TGME49_316230	PF3D7_1354200
OG0000049	TGME49_256830	PF3D7_0802500
OG0000050	TGME49_263170	PF3D7_1251000
OG0000050	TGME49_321520	PF3D7_1453700
OG0000051	TGME49_215640, TGME49_231930	PF3D7_1013000, PF3D7_0415800
OG0000052	TGME49_203380	PF3D7_1216900
OG0000052	TGME49_301340	PF3D7_1005600
OG0000053	TGME49_315920	PF3D7_1304900
OG0000053	TGME49_261540	PF3D7_1415200
OG0000054	TGME49_258520	PF3D7_1212300
OG0000054	TGME49_209300	PF3D7_0922000
OG0000055	TGME49_285470, TGME49_290870, TGME49_320500	PF3D7_0107500
OG0000056	TGME49_212275, TGME49_212270, TGME49_219742	PF3D7_1434400
OG0000057	TGME49_276140	PF3D7_1020900
OG0000057	TGME49_262860	PF3D7_1034700
OG0000058	TGME49_237470	PF3D7_1365500
OG0000058	TGME49_283820	PF3D7_1344000
OG0000059	TGME49_253420	PF3D7_1135000.2, PF3D7_1135000.3, PF3D7_1135000.1
OG0000060	TGME49_295710	PF3D7_0826100
OG0000060	TGME49_275630	PF3D7_1119400
OG0000061	TGME49_294800, TGME49_286420	PF3D7_1357100, PF3D7_1357000
OG0000062	TGME49_218870, TGME49_221710, TGME49_312300	PF3D7_1405100
OG0000063	TGME49_201750	PF3D7_1114000
OG0000063	TGME49_278790	PF3D7_1147100
OG0000064	TGME49_249300, TGME49_304500, TGME49_304490	PF3D7_0718800
OG0000065	TGME49_265310	PF3D7_0213100, PF3D7_0501100.2, PF3D7_0501100.1
OG0000066	TGME49_218340, TGME49_247195, TGME49_218310	PF3D7_0822700
OG0000067	TGME49_223390	PF3D7_0422500
OG0000067	TGME49_249810	PF3D7_1439100
OG0000068	TGME49_235750	PF3D7_1423600
OG0000068	TGME49_240630	PF3D7_1450000
OG0000069	TGME49_246340	PF3D7_0523400
OG0000069	TGME49_313310	PF3D7_0806500
OG0000070	TGME49_297710, TGME49_204290, TGME49_204300	PF3D7_0811600
OG0000071	TGME49_221200, TGME49_232370, TGME49_244120	PF3D7_0420000
OG0000072	TGME49_306430	PF3D7_0607600
OG0000072	TGME49_301420	PF3D7_1316400
OG0000073	TGME49_208540	PF3D7_0827000
OG0000073	TGME49_256770	PF3D7_0422700
OG0000074	TGME49_266960, TGME49_212240, TGME49_221620	PF3D7_1008700
