Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	Bpertussis	n1	1.0	Terminal	Bpertussis_BP0338	Bpertussis_BP1592
OG0000000	Ecoli	n2	1.0	Terminal	Ecoli_b1285, Ecoli_b1489, Ecoli_b3529	Ecoli_b2176, Ecoli_b1815, Ecoli_b0315, Ecoli_b1168, Ecoli_b0457, Ecoli_b4061, Ecoli_b0833, Ecoli_b2395, Ecoli_b2503
OG0000000	Ecoli	n3	1.0	Terminal	Ecoli_b1285	Ecoli_b1489, Ecoli_b3529
OG0000000	Ecoli	n4	1.0	Terminal	Ecoli_b1489	Ecoli_b3529
OG0000000	Ecoli	n5	1.0	Terminal	Ecoli_b2176, Ecoli_b1815, Ecoli_b0315, Ecoli_b1168, Ecoli_b0457, Ecoli_b4061	Ecoli_b0833, Ecoli_b2395, Ecoli_b2503
OG0000000	Ecoli	n6	1.0	Terminal	Ecoli_b2176, Ecoli_b1815, Ecoli_b0315, Ecoli_b1168	Ecoli_b0457, Ecoli_b4061
OG0000000	Ecoli	n7	1.0	Terminal	Ecoli_b2176, Ecoli_b1815	Ecoli_b0315, Ecoli_b1168
OG0000000	Ecoli	n8	1.0	Terminal	Ecoli_b2176	Ecoli_b1815
OG0000000	Ecoli	n9	1.0	Terminal	Ecoli_b0315	Ecoli_b1168
OG0000000	Ecoli	n10	1.0	Terminal	Ecoli_b0457	Ecoli_b4061
OG0000000	Ecoli	n11	1.0	Terminal	Ecoli_b0833	Ecoli_b2395, Ecoli_b2503
OG0000000	Ecoli	n12	1.0	Terminal	Ecoli_b2395	Ecoli_b2503
OG0000001	Ecoli	n1	1.0	Terminal	Ecoli_b0139, Ecoli_b2109	Ecoli_b3144, Ecoli_b0940, Ecoli_b4317, Ecoli_b1505, Ecoli_b0532
OG0000001	Ecoli	n2	1.0	Terminal	Ecoli_b0139	Ecoli_b2109
OG0000001	Ecoli	n3	1.0	Terminal	Ecoli_b3144	Ecoli_b0940, Ecoli_b4317, Ecoli_b1505, Ecoli_b0532
OG0000001	Ecoli	n4	1.0	Terminal	Ecoli_b0940, Ecoli_b4317, Ecoli_b1505	Ecoli_b0532
OG0000001	Ecoli	n5	1.0	Terminal	Ecoli_b0940	Ecoli_b4317, Ecoli_b1505
OG0000001	Ecoli	n6	1.0	Terminal	Ecoli_b4317	Ecoli_b1505
OG0000002	Ecoli	n1	1.0	Terminal	Ecoli_b2190	Ecoli_b2647
OG0000002	Bpertussis	n2	1.0	Terminal	Bpertussis_BP2315	Bpertussis_BP1201, Bpertussis_BP3494, Bpertussis_BP1054, Bpertussis_BP2738
OG0000002	Bpertussis	n3	1.0	Terminal	Bpertussis_BP1201	Bpertussis_BP3494, Bpertussis_BP1054, Bpertussis_BP2738
OG0000002	Bpertussis	n4	1.0	Terminal	Bpertussis_BP3494	Bpertussis_BP1054, Bpertussis_BP2738
OG0000002	Bpertussis	n5	1.0	Terminal	Bpertussis_BP1054	Bpertussis_BP2738
OG0000003	Ecoli	n1	1.0	Terminal	Ecoli_b3667	Ecoli_b2789, Ecoli_b3127, Ecoli_b3691, Ecoli_b4356, Ecoli_b3093
OG0000003	Ecoli	n2	1.0	Terminal	Ecoli_b2789, Ecoli_b3127, Ecoli_b3691, Ecoli_b4356	Ecoli_b3093
OG0000003	Ecoli	n3	1.0	Terminal	Ecoli_b2789, Ecoli_b3127, Ecoli_b3691	Ecoli_b4356
OG0000003	Ecoli	n4	1.0	Terminal	Ecoli_b2789, Ecoli_b3127	Ecoli_b3691
OG0000003	Ecoli	n5	1.0	Terminal	Ecoli_b2789	Ecoli_b3127
OG0000004	Bpertussis	n1	1.0	Terminal	Bpertussis_BP2555	Bpertussis_BP0027, Bpertussis_BP0436, Bpertussis_BP2944
OG0000004	Bpertussis	n2	1.0	Terminal	Bpertussis_BP0027	Bpertussis_BP0436, Bpertussis_BP2944
OG0000004	Bpertussis	n3	1.0	Terminal	Bpertussis_BP0436	Bpertussis_BP2944
OG0000005	Bpertussis	n1	1.0	Terminal	Bpertussis_BP0483	Bpertussis_BP3798
OG0000005	Ecoli	n2	1.0	Terminal	Ecoli_b4396, Ecoli_b4062	Ecoli_b1531
OG0000005	Ecoli	n3	1.0	Terminal	Ecoli_b4396	Ecoli_b4062
OG0000006	Ecoli	n1	1.0	Terminal	Ecoli_b2000	Ecoli_b2233
OG0000006	Bpertussis	n2	1.0	Terminal	Bpertussis_BP2224	Bpertussis_BP0529, Bpertussis_BP1344
OG0000006	Bpertussis	n3	1.0	Terminal	Bpertussis_BP0529	Bpertussis_BP1344
OG0000007	Bpertussis	n1	1.0	Terminal	Bpertussis_BP0617	Bpertussis_BP3307, Bpertussis_BP1100, Bpertussis_BP3190
OG0000007	Bpertussis	n2	1.0	Terminal	Bpertussis_BP3307	Bpertussis_BP1100, Bpertussis_BP3190
OG0000007	Bpertussis	n3	1.0	Terminal	Bpertussis_BP1100	Bpertussis_BP3190
OG0000008	Ecoli	n1	1.0	Terminal	Ecoli_b2470	Ecoli_b3266, Ecoli_b0462, Ecoli_b3514
OG0000008	Ecoli	n2	1.0	Terminal	Ecoli_b3266, Ecoli_b0462	Ecoli_b3514
OG0000008	Ecoli	n3	1.0	Terminal	Ecoli_b3266	Ecoli_b0462
OG0000009	Ecoli	n1	1.0	Terminal	Ecoli_b4089	Ecoli_b1853, Ecoli_b2427, Ecoli_b2561
OG0000009	Ecoli	n2	1.0	Terminal	Ecoli_b1853	Ecoli_b2427, Ecoli_b2561
OG0000009	Ecoli	n3	1.0	Terminal	Ecoli_b2427	Ecoli_b2561
OG0000010	Bpertussis	n1	1.0	Terminal	Bpertussis_BP3611	Bpertussis_BP0007
OG0000010	Ecoli	n2	1.0	Terminal	Ecoli_b3980	Ecoli_b3339
OG0000011	Ecoli	n1	1.0	Terminal	Ecoli_b0113	Ecoli_b3604
OG0000011	Bpertussis	n2	1.0	Terminal	Bpertussis_BP0209	Bpertussis_BP3547
OG0000012	Bpertussis	n1	1.0	Terminal	Bpertussis_BP2114	Bpertussis_BP0225, Bpertussis_BP2511
OG0000012	Bpertussis	n2	1.0	Terminal	Bpertussis_BP0225	Bpertussis_BP2511
OG0000013	Ecoli	n1	1.0	Terminal	Ecoli_b0512	Ecoli_b2873
