Orthogroup	Cvulgaris	creidhartii
OG0000000	genemark_Scaffold_89-abinit-gene-1.45-mRNA-1 protein AED_0.39 eAED_0.40 QI_0|0|0|0.5|1|1|10|0|488	CRv4_Au5_s1_g1406_t1, CRv4_Au5_s6_g12613_t1, CRv4_Au5_s6_g12609_t1, CRv4_Au5_s6_g12588_t1, CRv4_Au5_s14_g5635_t1, CRv4_Au5_s14_g5642_t1, CRv4_Au5_s14_g5640_t1, CRv4_Au5_s14_g5629_t1
OG0000000	maker_Scaffold_294-snap-gene-0.139-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.6|0.33|1|0.4|0.5|6|0|251	CRv4_Au5_s2_g8809_t1, CRv4_Au5_s2_g8810_t1, CRv4_Au5_s3_g10151_t1, CRv4_Au5_s16_g6703_t1, CRv4_Au5_s16_g6649_t1, CRv4_Au5_s2_g8302_t1, CRv4_Au5_s2_g8300_t1, CRv4_Au5_s2_g9730_t1, CRv4_Au5_s1_g2388_t1, CRv4_Au5_s26_g9977_t1, CRv4_Au5_s10_g274_t1, CRv4_Au5_s1_g1581_t1, CRv4_Au5_s12_g3435_t1, CRv4_Au5_s10_g907_t2, CRv4_Au5_s10_g907_t1, CRv4_Au5_s13_g4553_t1, CRv4_Au5_s12_g3618_t1, CRv4_Au5_s7_g13854_t1, CRv4_Au5_s3_g11158_t1
OG0000000	maker_Scaffold_89-snap-gene-1.313-mRNA-1 protein AED_0.14 eAED_0.18 QI_0|0|0|0.66|0|0.66|3|0|654	CRv4_Au5_s2_g9141_t1
OG0000001	augustus_masked_Scaffold_608-abinit-gene-0.2-mRNA-1 protein AED_0.24 eAED_0.26 QI_0|-1|0|1|-1|1|1|0|126, augustus_masked_Scaffold_674-abinit-gene-0.3-mRNA-1 protein AED_0.02 eAED_0.02 QI_0|-1|0|1|-1|1|1|0|122, maker_Scaffold_1362-augustus-gene-0.49-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|1|0.5|1|1|1|2|0|131	CRv4_Au5_s6_g12730_t1, CRv4_Au5_s6_g12757_t1, CRv4_Au5_s6_g12696_t1, CRv4_Au5_s13_g4884_t1, CRv4_Au5_s13_g4877_t1, CRv4_Au5_s6_g12704_t1, CRv4_Au5_s6_g12692_t1, CRv4_Au5_s6_g12882_t1, CRv4_Au5_s17_g7312_t1, CRv4_Au5_s17_g7326_t1, CRv4_Au5_s17_g7278_t1, CRv4_Au5_s17_g7334_t1, CRv4_Au5_s13_g4467_t1, CRv4_Au5_s17_g7229_t1, CRv4_Au5_s6_g12936_t1, CRv4_Au5_s17_g7216_t1, CRv4_Au5_s17_g7251_t1, CRv4_Au5_s6_g12926_t1, CRv4_Au5_s6_g12894_t1, CRv4_Au5_s6_g12915_t1, CRv4_Au5_s12_g3163_t1, CRv4_Au5_s12_g3184_t1, CRv4_Au5_s6_g12825_t1, CRv4_Au5_s6_g12876_t1, CRv4_Au5_s6_g12763_t1, CRv4_Au5_s12_g3168_t1, CRv4_Au5_s12_g3198_t1
OG0000002	augustus_masked_Scaffold_2336-abinit-gene-0.2-mRNA-1 protein AED_0.00 eAED_0.00 QI_0|-1|0|1|-1|1|1|0|103, augustus_masked_Scaffold_1362-abinit-gene-0.2-mRNA-1 protein AED_0.00 eAED_0.00 QI_0|-1|0|1|-1|1|1|0|103, augustus_masked_Scaffold_111-abinit-gene-0.1-mRNA-1 protein AED_0.00 eAED_0.00 QI_0|-1|0|1|-1|1|1|0|103	CRv4_Au5_s6_g12765_t1, CRv4_Au5_s17_g7280_t1, CRv4_Au5_s17_g7324_t1, CRv4_Au5_s6_g12701_t1, CRv4_Au5_s17_g7218_t1, CRv4_Au5_s12_g3202_t1, CRv4_Au5_s12_g3200_t1, CRv4_Au5_s6_g12756_t1, CRv4_Au5_s6_g12698_t1, CRv4_Au5_s17_g7209_t1, CRv4_Au5_s6_g12706_t1, CRv4_Au5_s16_g6066_t1, CRv4_Au5_s6_g12824_t1, CRv4_Au5_s17_g7314_t1, CRv4_Au5_s16_g6060_t1, CRv4_Au5_s17_g7336_t1, CRv4_Au5_s17_g7227_t1, CRv4_Au5_s12_g3182_t1, CRv4_Au5_s6_g12881_t1, CRv4_Au5_s6_g12877_t1, CRv4_Au5_s12_g3165_t1, CRv4_Au5_s17_g7253_t1, CRv4_Au5_s6_g12728_t1, CRv4_Au5_s6_g12689_t1, CRv4_Au5_s12_g3170_t1
OG0000003	maker_Scaffold_178-augustus-gene-0.123-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0.33|0|0.5|1|1|4|0|122, augustus_masked_Scaffold_608-abinit-gene-0.1-mRNA-1 protein AED_0.28 eAED_0.28 QI_0|-1|0|1|-1|1|1|0|123, augustus_masked_Scaffold_1576-abinit-gene-0.0-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|-1|0|1|-1|1|1|0|123	CRv4_Au5_s13_g4466_t1, CRv4_Au5_s17_g7217_t1, CRv4_Au5_s12_g3164_t1, CRv4_Au5_s17_g7279_t1, CRv4_Au5_s6_g12935_t1, CRv4_Au5_s6_g12927_t1, CRv4_Au5_s17_g7325_t1, CRv4_Au5_s17_g7335_t1, CRv4_Au5_s17_g7313_t1, CRv4_Au5_s12_g3167_t1, CRv4_Au5_s12_g3185_t1, CRv4_Au5_s12_g3197_t1, CRv4_Au5_s6_g12883_t1, CRv4_Au5_s17_g7252_t1, CRv4_Au5_s6_g12762_t1, CRv4_Au5_s6_g12731_t1, CRv4_Au5_s6_g12875_t1, CRv4_Au5_s17_g7228_t1, CRv4_Au5_s6_g12693_t1, CRv4_Au5_s6_g12695_t1, CRv4_Au5_s6_g12914_t1, CRv4_Au5_s6_g12705_t1, CRv4_Au5_s6_g12758_t1, CRv4_Au5_s6_g12893_t1
OG0000004	augustus_masked_Scaffold_1279-abinit-gene-0.1-mRNA-1 protein AED_0.31 eAED_0.32 QI_0|-1|0|1|-1|1|1|0|235, maker_Scaffold_1211-snap-gene-0.13-mRNA-1 protein AED_0.12 eAED_0.17 QI_0|0|0|0.5|1|1|2|0|357, maker_Scaffold_9-snap-gene-0.11-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0|0|0.66|0|0.33|3|0|579, maker_Scaffold_643-snap-gene-0.71-mRNA-1 protein AED_0.07 eAED_0.08 QI_0|0|0|1|0|0.5|2|0|497, maker_Scaffold_1429-snap-gene-0.19-mRNA-1 protein AED_0.19 eAED_0.19 QI_0|0|0|1|0|0|3|0|273, maker_Scaffold_2179-snap-gene-0.7-mRNA-1 protein AED_0.07 eAED_0.09 QI_0|0|0|0.75|0|0|4|0|453, maker_Scaffold_2180-snap-gene-0.3-mRNA-1 protein AED_0.12 eAED_0.14 QI_0|0|0|0.75|0|0|4|0|440, genemark_Scaffold_1171-abinit-gene-0.5-mRNA-1 protein AED_0.38 eAED_0.42 QI_0|0|0|0.62|1|1|8|0|437, augustus_masked_Scaffold_1278-abinit-gene-0.0-mRNA-1 protein AED_0.33 eAED_0.33 QI_0|0|0|0.5|1|1|2|0|232, maker_Scaffold_2273-snap-gene-0.10-mRNA-1 protein AED_0.18 eAED_0.19 QI_0|0|0|0.6|0|0|5|0|801, genemark_Scaffold_663-abinit-gene-0.2-mRNA-1 protein AED_0.28 eAED_0.31 QI_0|0|0|0.8|1|1|10|0|945, genemark_Scaffold_1189-abinit-gene-0.2-mRNA-1 protein AED_0.50 eAED_0.50 QI_0|0|0|0.5|1|1|2|0|296, genemark_Scaffold_380-abinit-gene-0.8-mRNA-1 protein AED_0.60 eAED_0.60 QI_0|0|0|0.25|1|1|4|0|479, genemark_Scaffold_1189-abinit-gene-0.1-mRNA-1 protein AED_0.50 eAED_0.50 QI_0|0|0|0.5|1|1|2|0|330, snap_masked_Scaffold_380-abinit-gene-0.22-mRNA-1 protein AED_0.53 eAED_0.53 QI_0|-1|0|1|-1|1|1|0|384, genemark_Scaffold_878-abinit-gene-0.1-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0|0|0.83|1|1|6|0|888, maker_Scaffold_1188-snap-gene-0.4-mRNA-1 protein AED_0.07 eAED_0.08 QI_0|0|0|1|0|0|2|0|468, genemark_Scaffold_1105-abinit-gene-0.7-mRNA-1 protein AED_0.42 eAED_0.42 QI_0|0|0|0.5|1|1|2|0|437, maker_Scaffold_379-snap-gene-0.14-mRNA-1 protein AED_0.50 eAED_0.51 QI_0|0|0|0.6|0.5|0.4|5|0|536, maker_Scaffold_1210-snap-gene-0.6-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0.5|0|1|0|0|3|0|330, maker_Scaffold_379-snap-gene-0.13-mRNA-1 protein AED_0.31 eAED_0.31 QI_0|0|0|1|0|0|2|0|356, maker_Scaffold_380-snap-gene-0.30-mRNA-1 protein AED_0.07 eAED_0.09 QI_35|0|0|1|0|0|2|0|392, maker_Scaffold_1550-snap-gene-0.47-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0|0|0.66|0.5|0.66|3|0|394, maker_Scaffold_879-snap-gene-0.37-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|0|0|0.66|0.5|0.33|3|0|521, maker_Scaffold_1345-snap-gene-0.6-mRNA-1 protein AED_0.16 eAED_0.19 QI_0|0|0|0.66|0|0.33|3|0|454	CRv4_Au5_s6_g12389_t1
OG0000005	snap_masked_Scaffold_346-abinit-gene-0.76-mRNA-1 protein AED_0.26 eAED_0.26 QI_0|-1|0|1|-1|1|1|0|306	CRv4_Au5_s3_g11245_t1, CRv4_Au5_s6_g13514_t1, CRv4_Au5_s1_g1971_t1, CRv4_Au5_s9_g15202_t1, CRv4_Au5_s9_g15446_t1, CRv4_Au5_s1_g2239_t1, CRv4_Au5_s11_g2487_t1, CRv4_Au5_s9_g15449_t1, CRv4_Au5_s12_g3636_t1, CRv4_Au5_s17_g7803_t1, CRv4_Au5_s17_g7803_t2, CRv4_Au5_s1_g1274_t1, CRv4_Au5_s6_g12403_t1, CRv4_Au5_s1_g1601_t1, CRv4_Au5_s1_g1747_t1, CRv4_Au5_s13_g4316_t1, CRv4_Au5_s1_g1874_t1, CRv4_Au5_s6_g13444_t1, CRv4_Au5_s14_g5318_t1, CRv4_Au5_s22_g9843_t1, CRv4_Au5_s10_g654_t1, CRv4_Au5_s14_g5646_t1, CRv4_Au5_s1_g1035_t1
OG0000006	genemark_Scaffold_266-abinit-gene-0.35-mRNA-1 protein AED_0.26 eAED_0.30 QI_0|0|0|0.75|1|1|8|0|1095, snap_masked_Scaffold_1576-abinit-gene-0.16-mRNA-1 protein AED_0.10 eAED_0.11 QI_0|-1|0|1|-1|1|1|0|327, genemark_Scaffold_605-abinit-gene-0.1-mRNA-1 protein AED_0.17 eAED_0.18 QI_0|0.7|0.45|0.90|1|1|11|0|453	CRv4_Au5_s4_g11646_t1, CRv4_Au5_s1_g2268_t1, CRv4_Au5_s7_g14190_t1, CRv4_Au5_s1_g2132_t3, CRv4_Au5_s1_g2132_t1, CRv4_Au5_s1_g2132_t2, CRv4_Au5_s1_g2192_t1, CRv4_Au5_s7_g13686_t1, CRv4_Au5_s2_g8986_t1, CRv4_Au5_s10_g339_t1, CRv4_Au5_s16_g6847_t1, CRv4_Au5_s26_g10009_t1, CRv4_Au5_s13_g5146_t1, CRv4_Au5_s17_g7194_t1
OG0000007	genemark_Scaffold_435-abinit-gene-0.50-mRNA-1 protein AED_0.34 eAED_0.36 QI_0|0|0|0.38|1|1|13|0|719	CRv4_Au5_s13_g4362_t1
