Orthogroup	Bpertussis	Ecoli
OG0001355	BP0003	
OG0001356	BP0004	
OG0001357	BP0005	
OG0001358	BP0017	
OG0001359	BP0018	
OG0001360	BP0020	
OG0001361	BP0022	
OG0001362	BP0023	
OG0001363	BP0025	
OG0001364	BP0026	
OG0001365	BP0028	
OG0001366	BP0029	
OG0001367	BP0030	
OG0001368	BP0031	
OG0001369	BP0032	
OG0001370	BP0036	
OG0001371	BP0037	
OG0001372	BP0039	
OG0001373	BP0041	
OG0001374	BP0043	
OG0001375	BP0045	
OG0001376	BP0047	
OG0001377	BP0048	
OG0001378	BP0049	
OG0001379	BP0053	
OG0001380	BP0054	
OG0001381	BP0057	
OG0001382	BP0058	
OG0001383	BP0060	
OG0001384	BP0061	
OG0001385	BP0062	
OG0001386	BP0063	
OG0001387	BP0065	
OG0001388	BP0066	
OG0001389	BP0067	
OG0001390	BP0069	
OG0001391	BP0071	
OG0001392	BP0072	
OG0001393	BP0077	
OG0001394	BP0082	
OG0001395	BP0085	
OG0001396	BP0086	
OG0001397	BP0091	
OG0001398	BP0096	
OG0001399	BP0097	
OG0001400	BP0099	
OG0001401	BP0100	
OG0001402	BP0101A	
OG0001403	BP0101B	
OG0001404	BP0103	
OG0001405	BP0110	
OG0001406	BP0112	
OG0001407	BP0114	
OG0001408	BP0116	
OG0001409	BP0117	
OG0001410	BP0118	
OG0001411	BP0119	
OG0001412	BP0120	
OG0001413	BP0121	
OG0001414	BP0122	
OG0001415	BP0123	
OG0001416	BP0124	
OG0001417	BP0126	
OG0001418	BP0128	
OG0001419	BP0130	
OG0001420	BP0132	
OG0001421	BP0134	
OG0001422	BP0135	
OG0001423	BP0137	
OG0001424	BP0141	
OG0001425	BP0142	
OG0001426	BP0143	
OG0001427	BP0144	
OG0001428	BP0145	
OG0001429	BP0148	
OG0001430	BP0149	
OG0001431	BP0153	
OG0001432	BP0154	
OG0001433	BP0156	
OG0001434	BP0162	
OG0001435	BP0163	
OG0001436	BP0166	
OG0001437	BP0169	
OG0001438	BP0173	
OG0001439	BP0175	
OG0001440	BP0177	
OG0001441	BP0178	
OG0001442	BP0181	
OG0001443	BP0186	
OG0001444	BP0187	
OG0001445	BP0189	
OG0001446	BP0192	
OG0001447	BP0194	
OG0001448	BP0198	
OG0001449	BP0199	
OG0001450	BP0200	
OG0001451	BP0202	
OG0001452	BP0203	
OG0001453	BP0204	
OG0001454	BP0205	
OG0001455	BP0207	
OG0001456	BP0208	
OG0001457	BP0210	
OG0001458	BP0211	
OG0001459	BP0212	
OG0001460	BP0213	
OG0001461	BP0216	
OG0001462	BP0218	
OG0001463	BP0219	
OG0001464	BP0220	
OG0001465	BP0222	
OG0001466	BP0223	
OG0001467	BP0224	
OG0001468	BP0226	
OG0001469	BP0228	
OG0001470	BP0229	
OG0001471	BP0231	
OG0001472	BP0233	
OG0001473	BP0234	
OG0001474	BP0235	
OG0001475	BP0237	
OG0001476	BP0240	
OG0001477	BP0249	
OG0001478	BP0250	
OG0001479	BP0251	
OG0001480	BP0253	
OG0001481	BP0254	
OG0001482	BP0256	
OG0001483	BP0258	
OG0001484	BP0266	
OG0001485	BP0268	
OG0001486	BP0270	
OG0001487	BP0271	
OG0001488	BP0275	
OG0001489	BP0276	
OG0001490	BP0277	
OG0001491	BP0281	
OG0001492	BP0282	
OG0001493	BP0283	
OG0001494	BP0284	
OG0001495	BP0286	
OG0001496	BP0291	
OG0001497	BP0294	
OG0001498	BP0295	
OG0001499	BP0297	
OG0001500	BP0298	
OG0001501	BP0299	
OG0001502	BP0300	
OG0001503	BP0301	
OG0001504	BP0302	
OG0001505	BP0303	
OG0001506	BP0304	
OG0001507	BP0305	
OG0001508	BP0309	
OG0001509	BP0310	
OG0001510	BP0311	
OG0001511	BP0312	
OG0001512	BP0313	
OG0001513	BP0314	
OG0001514	BP0317	
OG0001515	BP0321	
OG0001516	BP0323	
OG0001517	BP0327	
OG0001518	BP0328	
OG0001519	BP0329	
OG0001520	BP0330	
OG0001521	BP0331	
OG0001522	BP0332	
OG0001523	BP0334	
OG0001524	BP0337	
OG0001525	BP0341	
OG0001526	BP0342	
OG0001527	BP0345	
OG0001528	BP0346	
OG0001529	BP0347	
OG0001530	BP0350	
OG0001531	BP0351	
OG0001532	BP0352	
OG0001533	BP0354	
OG0001534	BP0355	
OG0001535	BP0356	
OG0001536	BP0357	
OG0001537	BP0358	
