Orthogroup	Pfalciparum	Tgondii
OG0000000	PF3D7_0424700, PF3D7_1039000, PF3D7_0424500, PF3D7_0102600, PF3D7_1371700, PF3D7_0301200, PF3D7_0726200, PF3D7_0805700, PF3D7_0902000, PF3D7_0731400, PF3D7_0902300, PF3D7_0902100, PF3D7_0902600, PF3D7_0902500, PF3D7_0902400, PF3D7_0902200, PF3D7_1149300, PF3D7_1016400, PF3D7_1200800, PF3D7_1476400, PF3D7_0500900	TGME49_289050
OG0000001	PF3D7_0104800	TGME49_215490
OG0000001	PF3D7_0914700	TGME49_257530, TGME49_216710, TGME49_320020
OG0000001	PF3D7_1129900	TGME49_220600, TGME49_248420, TGME49_318150
OG0000002	PF3D7_0709700, PF3D7_0936700, PF3D7_1401500, PF3D7_1252600, PF3D7_0702200, PF3D7_1038900, PF3D7_0937200, PF3D7_0102400, PF3D7_1476700, PF3D7_1476800	TGME49_305260, TGME49_306330
OG0000003	PF3D7_1023100	TGME49_203135
OG0000003	PF3D7_0905300	TGME49_309980, TGME49_235920, TGME49_249840, TGME49_306338
OG0000003	PF3D7_1122900	TGME49_261022
OG0000004	PF3D7_1030900, PF3D7_1031000	TGME49_315550, TGME49_315540, TGME49_261780, TGME49_315520, TGME49_267680, TGME49_318540, TGME49_202400
OG0000005	PF3D7_1233200.1, PF3D7_1233200.2	TGME49_288945, TGME49_243460, TGME49_289710, TGME49_233380, TGME49_281960
OG0000006	PF3D7_1106300	TGME49_242830
OG0000006	PF3D7_0204600	TGME49_320440
OG0000006	PF3D7_0909400	TGME49_327600, TGME49_305780
OG0000007	PF3D7_1404600.2, PF3D7_1404600.3, PF3D7_1404600.1	TGME49_289170, TGME49_216280, TGME49_230555
OG0000008	PF3D7_1116700	TGME49_289620
OG0000008	PF3D7_1247800	TGME49_267490
OG0000008	PF3D7_0404700	TGME49_276130
OG0000009	PF3D7_1027700.2, PF3D7_1027700.1	TGME49_260670
OG0000009	PF3D7_0107000	TGME49_247230
OG0000010	PF3D7_1001200, PF3D7_0810000, PF3D7_1001100.1, PF3D7_1477800	TGME49_251550
OG0000011	PF3D7_0811000	TGME49_289310
OG0000011	PF3D7_0629800	TGME49_201770, TGME49_316660
OG0000012	PF3D7_1241600	TGME49_242460
OG0000012	PF3D7_0905200	TGME49_293350, TGME49_277090
OG0000013	PF3D7_1202000	TGME49_226090
OG0000013	PF3D7_1251500	TGME49_309570, TGME49_219200
OG0000014	PF3D7_1408000, PF3D7_1408100, PF3D7_1407900, PF3D7_1407800	TGME49_201840
OG0000015	PF3D7_0827700	TGME49_234540, TGME49_212200, TGME49_288820, TGME49_203350
OG0000016	PF3D7_0916600	TGME49_249010
OG0000016	PF3D7_1455200.2, PF3D7_1455200.1	TGME49_310070
OG0000017	PF3D7_1121800	TGME49_206510, TGME49_257010, TGME49_269885, TGME49_244480
OG0000018	PF3D7_0909900	TGME49_285660
OG0000018	PF3D7_1331100	TGME49_242055, TGME49_230080
OG0000019	PF3D7_0414500	TGME49_265530
OG0000019	PF3D7_0916700	TGME49_310050, TGME49_264610
OG0000020	PF3D7_1226300, PF3D7_1033400	TGME49_243910, TGME49_229330, TGME49_229320
OG0000021	PF3D7_0207200, PF3D7_0322500	TGME49_318170
OG0000021	PF3D7_0522700	TGME49_297925
OG0000022	PF3D7_0304500	TGME49_268730
OG0000022	PF3D7_0606900, PF3D7_0709200	TGME49_238070
OG0000023	PF3D7_0824400, PF3D7_1347200	TGME49_244440, TGME49_288540, TGME49_233130
OG0000024	PF3D7_1347500	TGME49_323100, TGME49_279100, TGME49_323110, TGME49_220950
OG0000025	PF3D7_1324900	TGME49_232350, TGME49_291040
OG0000025	PF3D7_0618500	TGME49_318430
OG0000026	PF3D7_1411900, PF3D7_1412000	TGME49_228370, TGME49_285180
OG0000027	PF3D7_0110500	TGME49_258990
OG0000027	PF3D7_0321800	TGME49_311625
OG0000028	PF3D7_0111000	TGME49_253110
OG0000028	PF3D7_0317500	TGME49_297110
OG0000029	PF3D7_0604500	TGME49_298610
OG0000029	PF3D7_1019000	TGME49_204160
OG0000030	PF3D7_0109900.1, PF3D7_0109900.2	TGME49_315930, TGME49_271170
OG0000031	PF3D7_1015200.3, PF3D7_1015200.2, PF3D7_1015200.1	TGME49_299810
OG0000032	PF3D7_0516300, PF3D7_0908700	TGME49_220212, TGME49_211450
OG0000033	PF3D7_1211400	TGME49_313400
OG0000033	PF3D7_1330300	TGME49_214530
OG0000034	PF3D7_1018800	TGME49_205150
OG0000034	PF3D7_0819500	TGME49_268630
OG0000035	PF3D7_1234100	TGME49_276180
OG0000035	PF3D7_1475600	TGME49_306460
OG0000036	PF3D7_0905700.2, PF3D7_0905700.3, PF3D7_0905700.1	TGME49_236110
OG0000037	PF3D7_1226500	TGME49_237100
OG0000037	PF3D7_1029800	TGME49_260790
OG0000038	PF3D7_1019300	TGME49_313740
OG0000038	PF3D7_1425600	TGME49_242090
OG0000039	PF3D7_0814600	TGME49_216650
OG0000039	PF3D7_1407700	TGME49_202390
OG0000040	PF3D7_1427100	TGME49_254330, TGME49_269300, TGME49_262400
OG0000041	PF3D7_0812220	TGME49_262510
OG0000041	PF3D7_0513400	TGME49_217760
OG0000042	PF3D7_1363500	TGME49_204410
OG0000042	PF3D7_0519500	TGME49_259560
OG0000043	PF3D7_0509100	TGME49_231170
OG0000043	PF3D7_1130700	TGME49_288700
OG0000044	PF3D7_1419800.1, PF3D7_1419800.2	TGME49_219130, TGME49_246920
OG0000045	PF3D7_0218400	TGME49_279330
OG0000045	PF3D7_1241800	TGME49_259220
OG0000046	PF3D7_0730100, PF3D7_1035000	TGME49_244630, TGME49_264190
OG0000047	PF3D7_0625100, PF3D7_0625000.2, PF3D7_0625000.1	TGME49_246780
OG0000048	PF3D7_1401300, PF3D7_0301300, PF3D7_0826200	TGME49_261940
OG0000049	PF3D7_1354200	TGME49_316230
OG0000049	PF3D7_0802500	TGME49_256830
OG0000050	PF3D7_1251000	TGME49_263170
OG0000050	PF3D7_1453700	TGME49_321520
OG0000051	PF3D7_1013000, PF3D7_0415800	TGME49_215640, TGME49_231930
