Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	creidhartii_CRv4_Au5_s1_g1406_t1, creidhartii_CRv4_Au5_s6_g12613_t1, creidhartii_CRv4_Au5_s6_g12609_t1, creidhartii_CRv4_Au5_s6_g12588_t1, creidhartii_CRv4_Au5_s14_g5635_t1, creidhartii_CRv4_Au5_s14_g5642_t1, creidhartii_CRv4_Au5_s14_g5640_t1, creidhartii_CRv4_Au5_s14_g5629_t1, Cvulgaris_genemark_Scaffold_89-abinit-gene-1.45-mRNA-1 protein AED_0.39 eAED_0.40 QI_0|0|0|0.5|1|1|10|0|488	creidhartii_CRv4_Au5_s2_g8809_t1, creidhartii_CRv4_Au5_s2_g8810_t1, creidhartii_CRv4_Au5_s3_g10151_t1, creidhartii_CRv4_Au5_s16_g6703_t1, creidhartii_CRv4_Au5_s16_g6649_t1, creidhartii_CRv4_Au5_s2_g8302_t1, creidhartii_CRv4_Au5_s2_g8300_t1, creidhartii_CRv4_Au5_s2_g9730_t1, creidhartii_CRv4_Au5_s1_g2388_t1, creidhartii_CRv4_Au5_s26_g9977_t1, creidhartii_CRv4_Au5_s10_g274_t1, creidhartii_CRv4_Au5_s1_g1581_t1, creidhartii_CRv4_Au5_s12_g3435_t1, creidhartii_CRv4_Au5_s10_g907_t2, creidhartii_CRv4_Au5_s10_g907_t1, creidhartii_CRv4_Au5_s13_g4553_t1, creidhartii_CRv4_Au5_s12_g3618_t1, creidhartii_CRv4_Au5_s7_g13854_t1, creidhartii_CRv4_Au5_s3_g11158_t1, Cvulgaris_maker_Scaffold_294-snap-gene-0.139-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.6|0.33|1|0.4|0.5|6|0|251, creidhartii_CRv4_Au5_s2_g9141_t1, Cvulgaris_maker_Scaffold_89-snap-gene-1.313-mRNA-1 protein AED_0.14 eAED_0.18 QI_0|0|0|0.66|0|0.66|3|0|654
OG0000000	creidhartii	n2	1.0	Terminal	creidhartii_CRv4_Au5_s1_g1406_t1, creidhartii_CRv4_Au5_s6_g12613_t1, creidhartii_CRv4_Au5_s6_g12609_t1, creidhartii_CRv4_Au5_s6_g12588_t1, creidhartii_CRv4_Au5_s14_g5635_t1, creidhartii_CRv4_Au5_s14_g5642_t1, creidhartii_CRv4_Au5_s14_g5640_t1	creidhartii_CRv4_Au5_s14_g5629_t1
OG0000000	creidhartii	n3	1.0	Terminal	creidhartii_CRv4_Au5_s1_g1406_t1, creidhartii_CRv4_Au5_s6_g12613_t1, creidhartii_CRv4_Au5_s6_g12609_t1, creidhartii_CRv4_Au5_s6_g12588_t1	creidhartii_CRv4_Au5_s14_g5635_t1, creidhartii_CRv4_Au5_s14_g5642_t1, creidhartii_CRv4_Au5_s14_g5640_t1
OG0000000	creidhartii	n4	1.0	Terminal	creidhartii_CRv4_Au5_s1_g1406_t1	creidhartii_CRv4_Au5_s6_g12613_t1, creidhartii_CRv4_Au5_s6_g12609_t1, creidhartii_CRv4_Au5_s6_g12588_t1
OG0000000	creidhartii	n5	1.0	Terminal	creidhartii_CRv4_Au5_s6_g12613_t1	creidhartii_CRv4_Au5_s6_g12609_t1, creidhartii_CRv4_Au5_s6_g12588_t1
OG0000000	creidhartii	n6	1.0	Terminal	creidhartii_CRv4_Au5_s6_g12609_t1	creidhartii_CRv4_Au5_s6_g12588_t1
OG0000000	creidhartii	n7	1.0	Terminal	creidhartii_CRv4_Au5_s14_g5635_t1, creidhartii_CRv4_Au5_s14_g5642_t1	creidhartii_CRv4_Au5_s14_g5640_t1
OG0000000	creidhartii	n8	1.0	Terminal	creidhartii_CRv4_Au5_s14_g5635_t1	creidhartii_CRv4_Au5_s14_g5642_t1
OG0000000	N0	n9	1.0	Non-Terminal	creidhartii_CRv4_Au5_s2_g8809_t1, creidhartii_CRv4_Au5_s2_g8810_t1, creidhartii_CRv4_Au5_s3_g10151_t1, creidhartii_CRv4_Au5_s16_g6703_t1, creidhartii_CRv4_Au5_s16_g6649_t1, creidhartii_CRv4_Au5_s2_g8302_t1, creidhartii_CRv4_Au5_s2_g8300_t1, creidhartii_CRv4_Au5_s2_g9730_t1, creidhartii_CRv4_Au5_s1_g2388_t1, creidhartii_CRv4_Au5_s26_g9977_t1, creidhartii_CRv4_Au5_s10_g274_t1, creidhartii_CRv4_Au5_s1_g1581_t1, creidhartii_CRv4_Au5_s12_g3435_t1, creidhartii_CRv4_Au5_s10_g907_t2, creidhartii_CRv4_Au5_s10_g907_t1, creidhartii_CRv4_Au5_s13_g4553_t1, creidhartii_CRv4_Au5_s12_g3618_t1, creidhartii_CRv4_Au5_s7_g13854_t1, creidhartii_CRv4_Au5_s3_g11158_t1, Cvulgaris_maker_Scaffold_294-snap-gene-0.139-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.6|0.33|1|0.4|0.5|6|0|251	creidhartii_CRv4_Au5_s2_g9141_t1, Cvulgaris_maker_Scaffold_89-snap-gene-1.313-mRNA-1 protein AED_0.14 eAED_0.18 QI_0|0|0|0.66|0|0.66|3|0|654
OG0000000	creidhartii	n11	1.0	Terminal	creidhartii_CRv4_Au5_s2_g8809_t1, creidhartii_CRv4_Au5_s2_g8810_t1, creidhartii_CRv4_Au5_s3_g10151_t1, creidhartii_CRv4_Au5_s16_g6703_t1, creidhartii_CRv4_Au5_s16_g6649_t1, creidhartii_CRv4_Au5_s2_g8302_t1, creidhartii_CRv4_Au5_s2_g8300_t1, creidhartii_CRv4_Au5_s2_g9730_t1, creidhartii_CRv4_Au5_s1_g2388_t1, creidhartii_CRv4_Au5_s26_g9977_t1, creidhartii_CRv4_Au5_s10_g274_t1, creidhartii_CRv4_Au5_s1_g1581_t1	creidhartii_CRv4_Au5_s12_g3435_t1, creidhartii_CRv4_Au5_s10_g907_t2, creidhartii_CRv4_Au5_s10_g907_t1, creidhartii_CRv4_Au5_s13_g4553_t1, creidhartii_CRv4_Au5_s12_g3618_t1, creidhartii_CRv4_Au5_s7_g13854_t1, creidhartii_CRv4_Au5_s3_g11158_t1
